,0,1,2,3,4,5,6,7,8,9,10
0,12.493598654251864,3.1105969720666984,0.7594446043869401,0.17010354865356636,0.027096140493488442,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,50.0,12.478797165526263,3.077293622434098,0.7112736879540718,0.12193263222069801,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,75.0,50.0,12.425273925045298,2.9568663313519274,0.5486968449931411,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,87.5,75.0,50.0,12.20850480109739,2.469135802469135,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,93.75,87.5,75.0,50.0,11.111111111111109,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,96.875,93.75,87.5,75.0,50.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,98.4375,96.875,93.75,87.5,75.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.21875,98.4375,96.875,93.75
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.609375,99.21875,98.4375
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8046875,99.609375
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.90234375
